Time,Theta_Actual,Theta_Predicted,Gamma_Actual,Gamma_Predicted
40.28,0.0331561172733922,0.03574060263590046,-0.2113861306746509,-0.18403112112612577
40.29,0.0339861953949532,0.037512412428124184,-0.2121153726885978,-0.18549937238248684
40.3,0.0349060078989876,0.03925721323026053,-0.2128954274700458,-0.18676583927054474
40.31,0.0356858836501506,0.041031210931936984,-0.21365426368689,-0.18806079068451426
40.32,0.0364589367215775,0.04280003144853929,-0.2145100637324997,-0.18940702359087222
40.33,0.0373099627014616,0.04464405491228841,-0.2152874054132722,-0.1907379778136254
40.34,0.0380761422593694,0.04644865301406301,-0.216075636056319,-0.19187821789069726
40.35,0.0388998227983426,0.04843988103121671,-0.2167182638943671,-0.1937524961797136
40.36,0.0397971494829581,0.05047324330784705,-0.2176387901168758,-0.1958076161210824
40.37,0.0407214023331448,0.0525709484496639,-0.2184794348716299,-0.19793909091985828
40.38,0.0414113903000722,0.0547300179923638,-0.219369548947668,-0.20015923472773886
40.39,0.0424070164528272,0.05672702944508036,-0.2201853481672069,-0.20176567000354864
40.4,0.0432405784878366,0.05874881661094278,-0.2209900556490732,-0.20324428546737663
40.41,0.0442688597024047,0.060469565495764134,-0.2216043075107042,-0.20422363475823457
40.42,0.0451883452944134,0.06172124963440854,-0.2221588955916765,-0.20412176991298522
40.43,0.0460952382083792,0.06313050473550703,-0.2230593821766281,-0.20417073046231968
40.44,0.046958586722402,0.06472475445537727,-0.2237377550836055,-0.20473900997677438
40.45,0.0479759868600747,0.06632762337071313,-0.2245032265683764,-0.2054429070864388
40.46,0.0490343894144932,0.06810942846003254,-0.2254630563054112,-0.20646230309233282
40.47,0.0498611244564772,0.07004255490917577,-0.2260525875014062,-0.20789319700802703
40.48,0.0508461404804212,0.07209142282735773,-0.2268539207684385,-0.2095136977968863
40.49,0.0517539604992807,0.0742202894645064,-0.2275950124776475,-0.2113169091875886
40.5,0.0526296893062551,0.07639600495800358,-0.2281660306465409,-0.2130514354124443
40.51,0.0536884870462479,0.07870029659194128,-0.2289538888351992,-0.21510028367951903
40.52,0.0547046312127448,0.08098700876874232,-0.2296186882184099,-0.2170794570792606
40.53,0.055722424587876,0.08324981899749237,-0.2303662822369996,-0.21905953268341646
40.54,0.0566733104018756,0.0854988176019732,-0.2310999280032848,-0.22099504432299036
40.55,0.0578522239769001,0.087683986827742,-0.2319183164289891,-0.22282844014313943
40.56,0.0588150697992369,0.08971907342555763,-0.2323015787563532,-0.2244923272580425
40.57,0.0597271579751312,0.092152621465626,-0.2330002013719873,-0.22651305043623285
40.58,0.0608068868031929,0.09436126139846363,-0.2338268571483126,-0.22839006379929516
40.59,0.0617091129949103,0.09639698172904698,-0.2345894025400448,-0.2300116828238051
40.6,0.0627650741505156,0.09751869096257229,-0.2351859919452231,-0.2303803494084383
40.61,0.063880580431122,0.09948704672222927,-0.236179178848489,-0.23157846781699978
40.62,0.064795706733628,0.10130622651514476,-0.2368161404196917,-0.23276689637860734
40.63,0.0657627018587937,0.10305295663781336,-0.2373947921913092,-0.2337012320937573
40.64,0.0669522492690571,0.10474831631385517,-0.2381771753677281,-0.23458807397837791
40.65,0.0678598466445534,0.10634153472407298,-0.2388154449238118,-0.23547725661353097
40.66,0.0688503339515081,0.10817694602222458,-0.2396196601174103,-0.23671395272614026
40.67,0.0699293640959508,0.11005545462472646,-0.2403308279621212,-0.23789954292037982
40.68,0.0710009637721993,0.11202244884629917,-0.240968712254804,-0.23917449514644082
40.69,0.0720626980323372,0.11407075281898227,-0.2415859559951243,-0.24046169724528144
40.7,0.0731020725121453,0.11621507598433978,-0.2423433577575729,-0.24189851345047694
40.71,0.0742849506030911,0.11850759759887822,-0.2431283133878446,-0.24346491214691926
40.72,0.0752483274738023,0.12068195267146314,-0.2438562869978913,-0.2447351837872068
40.73,0.0763582160917271,0.1232568731884981,-0.2449023447360086,-0.24691135085621796
40.74,0.0777467063769281,0.12568912703227095,-0.2457805373156258,-0.24902091481033664
40.75,0.0789212503248074,0.12831638043036797,-0.2463628602008644,-0.25150360753065376
40.76,0.0799167426566391,0.1308855923706574,-0.2470532377860524,-0.2538813726892016
40.77,0.0811649762123254,0.13318630653971156,-0.2478467684940905,-0.25560552343752235
40.78,0.0821834965550387,0.1352851586558307,-0.2485505606657381,-0.2569505607102333
40.79,0.0832096013781011,0.1370361031024099,-0.2491141374815348,-0.25774589165680295
40.8,0.0843211626025998,0.1386058718965204,-0.249858720743849,-0.2581570291504873
40.81,0.0855466076824132,0.1398113719749264,-0.250435948271043,-0.2578268640577698
40.82,0.0864860693769407,0.14085318258000568,-0.2507634803657361,-0.2574540952891303
40.83,0.0876450647440332,0.14185631984927075,-0.251449084002558,-0.2572706515447685
40.84,0.0890356405097211,0.14275360118440833,-0.2523756416987689,-0.25697491892796176
